OMRKK;TID;INDHOLD
Bydel - Vesterbro/Kongens Enghave;2024K4;82929
Bydel - Vesterbro/Kongens Enghave;2025K1;83239
Bydel - Valby;1974K1;52452
Bydel - Valby;1975K1;51116
Bydel - Valby;1976K1;49890
Bydel - Valby;1977K1;48639
Bydel - Valby;1978K1;47488
Bydel - Valby;1979K1;46926
Bydel - Valby;1980K1;46566
Bydel - Valby;1981K1;45890
Bydel - Valby;1982K1;45856
Bydel - Valby;1983K1;45698
Bydel - Valby;1984K1;45334
Bydel - Valby;1985K1;45009
Bydel - Valby;1986K1;44488
Bydel - Valby;1987K1;44246
Bydel - Valby;1988K1;44105
Bydel - Valby;1989K1;43924
Bydel - Valby;1990K1;43966
Bydel - Valby;1991K1;43585
Bydel - Valby;1992K1;43688
Bydel - Valby;1993K1;43786
Bydel - Valby;1994K1;43578
Bydel - Valby;1995K1;43672
Bydel - Valby;1996K1;45017
Bydel - Valby;1997K1;45335
Bydel - Valby;1998K1;45728
Bydel - Valby;1999K1;46106
Bydel - Valby;2000K1;46209
Bydel - Valby;2001K1;46189
Bydel - Valby;2002K1;46271
Bydel - Valby;2002K2;46348
Bydel - Valby;2002K3;46264
Bydel - Valby;2002K4;46273
Bydel - Valby;2003K1;46211
Bydel - Valby;2003K2;46225
Bydel - Valby;2003K3;46145
Bydel - Valby;2003K4;46315
Bydel - Valby;2004K1;46208
Bydel - Valby;2004K2;46158
Bydel - Valby;2004K3;46041
Bydel - Valby;2004K4;46030
Bydel - Valby;2005K1;46113
Bydel - Valby;2005K2;46065
Bydel - Valby;2005K3;45873
Bydel - Valby;2005K4;45852
Bydel - Valby;2006K1;45603
Bydel - Valby;2006K2;45433
Bydel - Valby;2006K3;45221
Bydel - Valby;2006K4;45307
Bydel - Valby;2007K1;45208
Bydel - Valby;2007K2;45215
Bydel - Valby;2007K3;45197
Bydel - Valby;2007K4;45394
Bydel - Valby;2008K1;45465
Bydel - Valby;2008K2;45672
Bydel - Valby;2008K3;45782
Bydel - Valby;2008K4;46216
Bydel - Valby;2009K1;46387
Bydel - Valby;2009K2;46479
Bydel - Valby;2009K3;46692
Bydel - Valby;2009K4;47057
Bydel - Valby;2010K1;47122
Bydel - Valby;2010K2;47145
Bydel - Valby;2010K3;47150
Bydel - Valby;2010K4;47679
Bydel - Valby;2011K1;47841
Bydel - Valby;2011K2;48227
Bydel - Valby;2011K3;48258
Bydel - Valby;2011K4;48591
Bydel - Valby;2012K1;48694
Bydel - Valby;2012K2;48800
Bydel - Valby;2012K3;48959
Bydel - Valby;2012K4;49482
Bydel - Valby;2013K1;49677
Bydel - Valby;2013K2;50127
Bydel - Valby;2013K3;50278
Bydel - Valby;2013K4;50783
Bydel - Valby;2014K1;50941
Bydel - Valby;2014K2;51230
Bydel - Valby;2014K3;51229
Bydel - Valby;2014K4;51573
Bydel - Valby;2015K1;51727
Bydel - Valby;2015K2;51986
Bydel - Valby;2015K3;52057
Bydel - Valby;2015K4;52526
Bydel - Valby;2016K1;52809
Bydel - Valby;2016K2;53126
Bydel - Valby;2016K3;53358
Bydel - Valby;2016K4;54189
Bydel - Valby;2017K1;54560
Bydel - Valby;2017K2;54735
Bydel - Valby;2017K3;54809
Bydel - Valby;2017K4;55602
Bydel - Valby;2018K1;56274
Bydel - Valby;2018K2;56541
Bydel - Valby;2018K3;56794
Bydel - Valby;2018K4;57805
Bydel - Valby;2019K1;58307
Bydel - Valby;2019K2;58573
Bydel - Valby;2019K3;59031
Bydel - Valby;2019K4;59840
Bydel - Valby;2020K1;60308
Bydel - Valby;2020K2;60754
Bydel - Valby;2020K3;61088
Bydel - Valby;2020K4;61895
Bydel - Valby;2021K1;62024
Bydel - Valby;2021K2;62549
Bydel - Valby;2021K3;62627
Bydel - Valby;2021K4;63496
Bydel - Valby;2022K1;64144
Bydel - Valby;2022K2;64518
Bydel - Valby;2022K3;65176
Bydel - Valby;2022K4;65889
Bydel - Valby;2023K1;66435
